Filename|Predictions
n02085782-Japanese_spaniel\n02085782_1350.jpg|n02096585-Boston_bull
n02085782-Japanese_spaniel\n02085782_1353.jpg|n02086646-Blenheim_spaniel
n02085782-Japanese_spaniel\n02085782_1401.jpg|n02106166-Border_collie
n02085782-Japanese_spaniel\n02085782_1425.jpg|n02102040-English_springer
n02085782-Japanese_spaniel\n02085782_143.jpg|n02101388-Brittany_spaniel
n02085782-Japanese_spaniel\n02085782_1434.jpg|n02085782-Japanese_spaniel
n02085782-Japanese_spaniel\n02085782_1460.jpg|n02087046-toy_terrier
n02085782-Japanese_spaniel\n02085782_1503.jpg|n02085782-Japanese_spaniel
n02085782-Japanese_spaniel\n02085782_1521.jpg|n02085782-Japanese_spaniel
n02085782-Japanese_spaniel\n02085782_1528.jpg|n02086910-papillon
n02085782-Japanese_spaniel\n02085782_1552.jpg|n02085782-Japanese_spaniel
n02085782-Japanese_spaniel\n02085782_1600.jpg|n02086646-Blenheim_spaniel
n02085782-Japanese_spaniel\n02085782_1610.jpg|n02113023-Pembroke
n02085782-Japanese_spaniel\n02085782_1626.jpg|n02085782-Japanese_spaniel
n02085936-Maltese_dog\n02085936_10073.jpg|n02111500-Great_Pyrenees
n02085936-Maltese_dog\n02085936_10130.jpg|n02101388-Brittany_spaniel
n02085936-Maltese_dog\n02085936_10148.jpg|n02105505-komondor
n02085936-Maltese_dog\n02085936_10197.jpg|n02112018-Pomeranian
n02085936-Maltese_dog\n02085936_10199.jpg|n02098413-Lhasa
n02085936-Maltese_dog\n02085936_10273.jpg|n02085936-Maltese_dog
n02085936-Maltese_dog\n02085936_10297.jpg|n02098105-soft-coated_wheaten_terrier
n02085936-Maltese_dog\n02085936_10307.jpg|n02096294-Australian_terrier
n02085936-Maltese_dog\n02085936_10377.jpg|n02085936-Maltese_dog
n02085936-Maltese_dog\n02085936_10397.jpg|n02085936-Maltese_dog
n02085936-Maltese_dog\n02085936_10447.jpg|n02104029-kuvasz
n02085936-Maltese_dog\n02085936_10610.jpg|n02085936-Maltese_dog
n02085936-Maltese_dog\n02085936_10625.jpg|n02086240-Shih-Tzu
n02085936-Maltese_dog\n02085936_10646.jpg|n02087046-toy_terrier
n02085936-Maltese_dog\n02085936_10661.jpg|n02097298-Scotch_terrier
n02085936-Maltese_dog\n02085936_10719.jpg|n02095889-Sealyham_terrier
n02085936-Maltese_dog\n02085936_11541.jpg|n02085936-Maltese_dog
n02085936-Maltese_dog\n02085936_1155.jpg|n02100735-English_setter
n02085936-Maltese_dog\n02085936_11653.jpg|n02111889-Samoyed
n02085936-Maltese_dog\n02085936_11744.jpg|n02115641-dingo
n02085936-Maltese_dog\n02085936_1244.jpg|n02085936-Maltese_dog
n02085936-Maltese_dog\n02085936_1247.jpg|n02085936-Maltese_dog
n02085936-Maltese_dog\n02085936_126.jpg|n02085936-Maltese_dog
n02085936-Maltese_dog\n02085936_1288.jpg|n02085936-Maltese_dog
n02085936-Maltese_dog\n02085936_13013.jpg|n02105641-Old_English_sheepdog
n02085936-Maltese_dog\n02085936_1325.jpg|n02085936-Maltese_dog
n02085936-Maltese_dog\n02085936_13378.jpg|n02085936-Maltese_dog
n02085936-Maltese_dog\n02085936_137.jpg|n02095889-Sealyham_terrier
n02085936-Maltese_dog\n02085936_1390.jpg|n02085936-Maltese_dog
n02085936-Maltese_dog\n02085936_13944.jpg|n02113978-Mexican_hairless
n02085936-Maltese_dog\n02085936_1424.jpg|n02111500-Great_Pyrenees
n02085936-Maltese_dog\n02085936_14432.jpg|n02095889-Sealyham_terrier
n02085936-Maltese_dog\n02085936_14595.jpg|n02098105-soft-coated_wheaten_terrier
n02085936-Maltese_dog\n02085936_1515.jpg|n02086240-Shih-Tzu
n02085936-Maltese_dog\n02085936_1549.jpg|n02085936-Maltese_dog
n02085936-Maltese_dog\n02085936_1556.jpg|n02085936-Maltese_dog
n02085936-Maltese_dog\n02085936_16014.jpg|n02098413-Lhasa
n02086079-Pekinese\n02086079_10059.jpg|n02085936-Maltese_dog
n02086079-Pekinese\n02086079_10159.jpg|n02097130-giant_schnauzer
n02086079-Pekinese\n02086079_1020.jpg|n02112137-chow
n02086079-Pekinese\n02086079_10294.jpg|n02093991-Irish_terrier
n02086079-Pekinese\n02086079_10373.jpg|n02093754-Border_terrier
n02086079-Pekinese\n02086079_10600.jpg|n02085936-Maltese_dog
n02086079-Pekinese\n02086079_10603.jpg|n02096177-cairn
n02086079-Pekinese\n02086079_10613.jpg|n02111889-Samoyed
n02086079-Pekinese\n02086079_10615.jpg|n02091467-Norwegian_elkhound
n02086079-Pekinese\n02086079_10627.jpg|n02097298-Scotch_terrier
n02086079-Pekinese\n02086079_10689.jpg|n02096294-Australian_terrier
n02086079-Pekinese\n02086079_10721.jpg|n02112137-chow
n02086079-Pekinese\n02086079_10932.jpg|n02097474-Tibetan_terrier
n02086079-Pekinese\n02086079_10951.jpg|n02086646-Blenheim_spaniel
n02086079-Pekinese\n02086079_10958.jpg|n02094114-Norfolk_terrier
n02086079-Pekinese\n02086079_11089.jpg|n02096437-Dandie_Dinmont
n02086079-Pekinese\n02086079_11322.jpg|n02096177-cairn
n02086079-Pekinese\n02086079_11420.jpg|n02094114-Norfolk_terrier
n02086079-Pekinese\n02086079_11511.jpg|n02115641-dingo
n02086079-Pekinese\n02086079_11664.jpg|n02099601-golden_retriever
n02086079-Pekinese\n02086079_11679.jpg|n02100583-vizsla
n02086079-Pekinese\n02086079_11684.jpg|n02090379-redbone
n02086240-Shih-Tzu\n02086240_1011.jpg|n02111889-Samoyed
n02086240-Shih-Tzu\n02086240_1016.jpg|n02085936-Maltese_dog
n02086240-Shih-Tzu\n02086240_1059.jpg|n02110063-malamute
n02086240-Shih-Tzu\n02086240_1078.jpg|n02108089-boxer
n02086240-Shih-Tzu\n02086240_10785.jpg|n02105641-Old_English_sheepdog
n02086240-Shih-Tzu\n02086240_1082.jpg|n02115641-dingo
n02086240-Shih-Tzu\n02086240_110.jpg|n02096294-Australian_terrier
n02086240-Shih-Tzu\n02086240_11085.jpg|n02086240-Shih-Tzu
n02086240-Shih-Tzu\n02086240_11139.jpg|n02086240-Shih-Tzu
n02086240-Shih-Tzu\n02086240_1142.jpg|n02111889-Samoyed
n02086240-Shih-Tzu\n02086240_11420.jpg|n02098105-soft-coated_wheaten_terrier
n02086240-Shih-Tzu\n02086240_11539.jpg|n02091032-Italian_greyhound
n02086240-Shih-Tzu\n02086240_11551.jpg|n02091134-whippet
n02086240-Shih-Tzu\n02086240_11622.jpg|n02093754-Border_terrier
n02086240-Shih-Tzu\n02086240_11692.jpg|n02086646-Blenheim_spaniel
n02086240-Shih-Tzu\n02086240_1170.jpg|n02096177-cairn
n02086240-Shih-Tzu\n02086240_11766.jpg|n02085936-Maltese_dog
n02086240-Shih-Tzu\n02086240_11959.jpg|n02115913-dhole
n02086240-Shih-Tzu\n02086240_12003.jpg|n02111500-Great_Pyrenees
n02086240-Shih-Tzu\n02086240_1205.jpg|n02086240-Shih-Tzu
n02086240-Shih-Tzu\n02086240_12057.jpg|n02112018-Pomeranian
n02086240-Shih-Tzu\n02086240_1215.jpg|n02086240-Shih-Tzu
n02086240-Shih-Tzu\n02086240_12314.jpg|n02098286-West_Highland_white_terrier
n02086240-Shih-Tzu\n02086240_12315.jpg|n02111889-Samoyed
n02086240-Shih-Tzu\n02086240_12342.jpg|n02111889-Samoyed
n02086240-Shih-Tzu\n02086240_12348.jpg|n02106166-Border_collie
n02086240-Shih-Tzu\n02086240_12480.jpg|n02105641-Old_English_sheepdog
n02086240-Shih-Tzu\n02086240_1249.jpg|n02096177-cairn
n02086240-Shih-Tzu\n02086240_1259.jpg|n02112137-chow
n02086240-Shih-Tzu\n02086240_126.jpg|n02111500-Great_Pyrenees
n02086240-Shih-Tzu\n02086240_12650.jpg|n02086240-Shih-Tzu
n02086240-Shih-Tzu\n02086240_1267.jpg|n02098286-West_Highland_white_terrier
n02086646-Blenheim_spaniel\n02086646_1002.jpg|n02086646-Blenheim_spaniel
n02086646-Blenheim_spaniel\n02086646_1014.jpg|n02086646-Blenheim_spaniel
n02086646-Blenheim_spaniel\n02086646_1023.jpg|n02113023-Pembroke
n02086646-Blenheim_spaniel\n02086646_1077.jpg|n02086646-Blenheim_spaniel
n02086646-Blenheim_spaniel\n02086646_1091.jpg|n02091244-Ibizan_hound
n02086646-Blenheim_spaniel\n02086646_1094.jpg|n02086646-Blenheim_spaniel
n02086646-Blenheim_spaniel\n02086646_1126.jpg|n02086646-Blenheim_spaniel
n02086646-Blenheim_spaniel\n02086646_1150.jpg|n02090379-redbone
n02086646-Blenheim_spaniel\n02086646_117.jpg|n02086646-Blenheim_spaniel
n02086646-Blenheim_spaniel\n02086646_118.jpg|n02086646-Blenheim_spaniel
n02086646-Blenheim_spaniel\n02086646_1182.jpg|n02108089-boxer
n02086646-Blenheim_spaniel\n02086646_1234.jpg|n02086646-Blenheim_spaniel
n02086646-Blenheim_spaniel\n02086646_1246.jpg|n02086646-Blenheim_spaniel
n02086646-Blenheim_spaniel\n02086646_127.jpg|n02089973-English_foxhound
n02086646-Blenheim_spaniel\n02086646_1342.jpg|n02086646-Blenheim_spaniel
n02086646-Blenheim_spaniel\n02086646_136.jpg|n02101556-clumber
n02086646-Blenheim_spaniel\n02086646_1368.jpg|n02086646-Blenheim_spaniel
n02086646-Blenheim_spaniel\n02086646_1445.jpg|n02112706-Brabancon_griffon
n02086646-Blenheim_spaniel\n02086646_1447.jpg|n02110806-basenji
n02086646-Blenheim_spaniel\n02086646_1461.jpg|n02091244-Ibizan_hound
n02086646-Blenheim_spaniel\n02086646_1476.jpg|n02086646-Blenheim_spaniel
n02086646-Blenheim_spaniel\n02086646_1511.jpg|n02086646-Blenheim_spaniel
n02086646-Blenheim_spaniel\n02086646_1514.jpg|n02101388-Brittany_spaniel
n02086646-Blenheim_spaniel\n02086646_1535.jpg|n02101388-Brittany_spaniel
n02086646-Blenheim_spaniel\n02086646_1586.jpg|n02086646-Blenheim_spaniel
n02086646-Blenheim_spaniel\n02086646_1590.jpg|n02086646-Blenheim_spaniel
n02086646-Blenheim_spaniel\n02086646_1605.jpg|n02086646-Blenheim_spaniel
n02086646-Blenheim_spaniel\n02086646_1621.jpg|n02089973-English_foxhound
n02086910-papillon\n02086910_10147.jpg|n02086240-Shih-Tzu
n02086910-papillon\n02086910_10204.jpg|n02097474-Tibetan_terrier
n02086910-papillon\n02086910_103.jpg|n02086910-papillon
n02086910-papillon\n02086910_1048.jpg|n02089867-Walker_hound
n02086910-papillon\n02086910_1052.jpg|n02085782-Japanese_spaniel
n02086910-papillon\n02086910_1199.jpg|n02089867-Walker_hound
n02086910-papillon\n02086910_1409.jpg|n02110806-basenji
n02086910-papillon\n02086910_1449.jpg|n02086910-papillon
n02086910-papillon\n02086910_1475.jpg|n02105855-Shetland_sheepdog
n02086910-papillon\n02086910_1492.jpg|n02111500-Great_Pyrenees
n02086910-papillon\n02086910_1501.jpg|n02111500-Great_Pyrenees
n02086910-papillon\n02086910_1613.jpg|n02095889-Sealyham_terrier
n02086910-papillon\n02086910_1626.jpg|n02086240-Shih-Tzu
n02086910-papillon\n02086910_1659.jpg|n02091134-whippet
n02086910-papillon\n02086910_1729.jpg|n02090622-borzoi
n02086910-papillon\n02086910_1775.jpg|n02086910-papillon
n02086910-papillon\n02086910_1826.jpg|n02086646-Blenheim_spaniel
n02086910-papillon\n02086910_1921.jpg|n02085782-Japanese_spaniel
n02086910-papillon\n02086910_1933.jpg|n02090622-borzoi
n02086910-papillon\n02086910_1957.jpg|n02086646-Blenheim_spaniel
n02086910-papillon\n02086910_1971.jpg|n02097047-miniature_schnauzer
n02086910-papillon\n02086910_2016.jpg|n02089973-English_foxhound
n02086910-papillon\n02086910_2035.jpg|n02085782-Japanese_spaniel
n02086910-papillon\n02086910_2084.jpg|n02095889-Sealyham_terrier
n02086910-papillon\n02086910_21.jpg|n02086910-papillon
n02086910-papillon\n02086910_2168.jpg|n02086240-Shih-Tzu
n02086910-papillon\n02086910_2188.jpg|n02107908-Appenzeller
n02086910-papillon\n02086910_2235.jpg|n02105855-Shetland_sheepdog
n02086910-papillon\n02086910_2240.jpg|n02102177-Welsh_springer_spaniel
n02087046-toy_terrier\n02087046_1004.jpg|n02108000-EntleBucher
n02087046-toy_terrier\n02087046_1206.jpg|n02107312-miniature_pinscher
n02087046-toy_terrier\n02087046_133.jpg|n02086910-papillon
n02087046-toy_terrier\n02087046_1386.jpg|n02107312-miniature_pinscher
n02087046-toy_terrier\n02087046_1468.jpg|n02107312-miniature_pinscher
n02087046-toy_terrier\n02087046_1482.jpg|n02107574-Greater_Swiss_Mountain_dog
n02087046-toy_terrier\n02087046_1520.jpg|n02087046-toy_terrier
n02087046-toy_terrier\n02087046_1577.jpg|n02093647-Bedlington_terrier
n02087046-toy_terrier\n02087046_1658.jpg|n02108089-boxer
n02087046-toy_terrier\n02087046_1666.jpg|n02087046-toy_terrier
n02087046-toy_terrier\n02087046_1703.jpg|n02086240-Shih-Tzu
n02087046-toy_terrier\n02087046_1724.jpg|n02095889-Sealyham_terrier
n02087046-toy_terrier\n02087046_178.jpg|n02108000-EntleBucher
n02087046-toy_terrier\n02087046_1792.jpg|n02088632-bluetick
n02087046-toy_terrier\n02087046_1989.jpg|n02113023-Pembroke
n02087046-toy_terrier\n02087046_2058.jpg|n02087046-toy_terrier
n02087046-toy_terrier\n02087046_2127.jpg|n02095889-Sealyham_terrier
n02087046-toy_terrier\n02087046_2140.jpg|n02096585-Boston_bull
n02087046-toy_terrier\n02087046_2141.jpg|n02087046-toy_terrier
n02087046-toy_terrier\n02087046_2152.jpg|n02088632-bluetick
n02087046-toy_terrier\n02087046_2158.jpg|n02086910-papillon
n02087046-toy_terrier\n02087046_2168.jpg|n02110806-basenji
n02087046-toy_terrier\n02087046_217.jpg|n02111889-Samoyed
n02087046-toy_terrier\n02087046_2185.jpg|n02097474-Tibetan_terrier
n02087046-toy_terrier\n02087046_2193.jpg|n02089078-black-and-tan_coonhound
n02087394-Rhodesian_ridgeback\n02087394_10014.jpg|n02090379-redbone
n02087394-Rhodesian_ridgeback\n02087394_101.jpg|n02110806-basenji
n02087394-Rhodesian_ridgeback\n02087394_10238.jpg|n02100583-vizsla
n02087394-Rhodesian_ridgeback\n02087394_10351.jpg|n02087394-Rhodesian_ridgeback
n02087394-Rhodesian_ridgeback\n02087394_10418.jpg|n02096051-Airedale
n02087394-Rhodesian_ridgeback\n02087394_10588.jpg|n02100583-vizsla
n02087394-Rhodesian_ridgeback\n02087394_10591.jpg|n02087394-Rhodesian_ridgeback
n02087394-Rhodesian_ridgeback\n02087394_10683.jpg|n02105412-kelpie
n02087394-Rhodesian_ridgeback\n02087394_10939.jpg|n02100583-vizsla
n02087394-Rhodesian_ridgeback\n02087394_1099.jpg|n02085936-Maltese_dog
n02087394-Rhodesian_ridgeback\n02087394_11116.jpg|n02099849-Chesapeake_Bay_retriever
n02087394-Rhodesian_ridgeback\n02087394_11139.jpg|n02087394-Rhodesian_ridgeback
n02087394-Rhodesian_ridgeback\n02087394_11149.jpg|n02087394-Rhodesian_ridgeback
n02087394-Rhodesian_ridgeback\n02087394_11174.jpg|n02102480-Sussex_spaniel
n02087394-Rhodesian_ridgeback\n02087394_11238.jpg|n02096051-Airedale
n02087394-Rhodesian_ridgeback\n02087394_11337.jpg|n02108089-boxer
n02087394-Rhodesian_ridgeback\n02087394_1137.jpg|n02096294-Australian_terrier
n02087394-Rhodesian_ridgeback\n02087394_11442.jpg|n02091635-otterhound
n02087394-Rhodesian_ridgeback\n02087394_11541.jpg|n02091635-otterhound
n02087394-Rhodesian_ridgeback\n02087394_1161.jpg|n02111129-Leonberg
n02087394-Rhodesian_ridgeback\n02087394_11710.jpg|n02089078-black-and-tan_coonhound
n02087394-Rhodesian_ridgeback\n02087394_11713.jpg|n02113023-Pembroke
n02087394-Rhodesian_ridgeback\n02087394_11718.jpg|n02099849-Chesapeake_Bay_retriever
n02087394-Rhodesian_ridgeback\n02087394_1274.jpg|n02087394-Rhodesian_ridgeback
n02087394-Rhodesian_ridgeback\n02087394_1336.jpg|n02100877-Irish_setter
n02088094-Afghan_hound\n02088094_1003.jpg|n02097209-standard_schnauzer
n02088094-Afghan_hound\n02088094_1007.jpg|n02088094-Afghan_hound
n02088094-Afghan_hound\n02088094_1023.jpg|n02096051-Airedale
n02088094-Afghan_hound\n02088094_10263.jpg|n02115913-dhole
n02088094-Afghan_hound\n02088094_10715.jpg|n02088094-Afghan_hound
n02088094-Afghan_hound\n02088094_10822.jpg|n02088094-Afghan_hound
n02088094-Afghan_hound\n02088094_10832.jpg|n02088094-Afghan_hound
n02088094-Afghan_hound\n02088094_10982.jpg|n02111129-Leonberg
n02088094-Afghan_hound\n02088094_11006.jpg|n02096177-cairn
n02088094-Afghan_hound\n02088094_11172.jpg|n02105056-groenendael
n02088094-Afghan_hound\n02088094_11182.jpg|n02101006-Gordon_setter
n02088094-Afghan_hound\n02088094_1126.jpg|n02086646-Blenheim_spaniel
n02088094-Afghan_hound\n02088094_1128.jpg|n02088094-Afghan_hound
n02088094-Afghan_hound\n02088094_11432.jpg|n02088094-Afghan_hound
n02088094-Afghan_hound\n02088094_1145.jpg|n02088094-Afghan_hound
n02088094-Afghan_hound\n02088094_115.jpg|n02097130-giant_schnauzer
n02088094-Afghan_hound\n02088094_1150.jpg|n02088094-Afghan_hound
n02088094-Afghan_hound\n02088094_11570.jpg|n02096051-Airedale
n02088094-Afghan_hound\n02088094_11584.jpg|n02088094-Afghan_hound
n02088094-Afghan_hound\n02088094_1167.jpg|n02111129-Leonberg
n02088094-Afghan_hound\n02088094_1186.jpg|n02115913-dhole
n02088094-Afghan_hound\n02088094_11953.jpg|n02091635-otterhound
n02088094-Afghan_hound\n02088094_1222.jpg|n02091467-Norwegian_elkhound
n02088094-Afghan_hound\n02088094_1234.jpg|n02098105-soft-coated_wheaten_terrier
n02088094-Afghan_hound\n02088094_12364.jpg|n02092339-Weimaraner
n02088094-Afghan_hound\n02088094_1254.jpg|n02105162-malinois
n02088094-Afghan_hound\n02088094_12563.jpg|n02102973-Irish_water_spaniel
n02088094-Afghan_hound\n02088094_1259.jpg|n02102973-Irish_water_spaniel
n02088094-Afghan_hound\n02088094_12664.jpg|n02090721-Irish_wolfhound
n02088094-Afghan_hound\n02088094_1270.jpg|n02111129-Leonberg
n02088094-Afghan_hound\n02088094_12867.jpg|n02088094-Afghan_hound
n02088094-Afghan_hound\n02088094_12879.jpg|n02097130-giant_schnauzer
n02088094-Afghan_hound\n02088094_12945.jpg|n02088094-Afghan_hound
n02088094-Afghan_hound\n02088094_1301.jpg|n02097130-giant_schnauzer
n02088094-Afghan_hound\n02088094_13011.jpg|n02090721-Irish_wolfhound
n02088238-basset\n02088238_10005.jpg|n02085620-Chihuahua
n02088238-basset\n02088238_10013.jpg|n02108089-boxer
n02088238-basset\n02088238_10028.jpg|n02088632-bluetick
n02088238-basset\n02088238_10049.jpg|n02109525-Saint_Bernard
n02088238-basset\n02088238_10051.jpg|n02102177-Welsh_springer_spaniel
n02088238-basset\n02088238_10054.jpg|n02115641-dingo
n02088238-basset\n02088238_10063.jpg|n02100877-Irish_setter
n02088238-basset\n02088238_10072.jpg|n02098286-West_Highland_white_terrier
n02088238-basset\n02088238_10095.jpg|n02110806-basenji
n02088238-basset\n02088238_10102.jpg|n02086240-Shih-Tzu
n02088238-basset\n02088238_10106.jpg|n02089973-English_foxhound
n02088238-basset\n02088238_10110.jpg|n02116738-African_hunting_dog
n02088238-basset\n02088238_10113.jpg|n02088094-Afghan_hound
n02088238-basset\n02088238_10129.jpg|n02110806-basenji
n02088238-basset\n02088238_10140.jpg|n02085620-Chihuahua
n02088238-basset\n02088238_10142.jpg|n02094114-Norfolk_terrier
n02088238-basset\n02088238_10183.jpg|n02094433-Yorkshire_terrier
n02088238-basset\n02088238_10245.jpg|n02107683-Bernese_mountain_dog
n02088238-basset\n02088238_10288.jpg|n02102973-Irish_water_spaniel
n02088238-basset\n02088238_10338.jpg|n02113023-Pembroke
n02088238-basset\n02088238_10358.jpg|n02088238-basset
n02088238-basset\n02088238_10451.jpg|n02116738-African_hunting_dog
n02088238-basset\n02088238_10473.jpg|n02101388-Brittany_spaniel
n02088238-basset\n02088238_10510.jpg|n02088632-bluetick
n02088238-basset\n02088238_10592.jpg|n02102177-Welsh_springer_spaniel
n02088238-basset\n02088238_10682.jpg|n02116738-African_hunting_dog
n02088364-beagle\n02088364_10108.jpg|n02105855-Shetland_sheepdog
n02088364-beagle\n02088364_10206.jpg|n02113978-Mexican_hairless
n02088364-beagle\n02088364_10296.jpg|n02112350-keeshond
n02088364-beagle\n02088364_10354.jpg|n02091032-Italian_greyhound
n02088364-beagle\n02088364_10362.jpg|n02113023-Pembroke
n02088364-beagle\n02088364_10575.jpg|n02088632-bluetick
n02088364-beagle\n02088364_10585.jpg|n02107908-Appenzeller
n02088364-beagle\n02088364_10731.jpg|n02086646-Blenheim_spaniel
n02088364-beagle\n02088364_10798.jpg|n02115641-dingo
n02088364-beagle\n02088364_10947.jpg|n02088094-Afghan_hound
n02088364-beagle\n02088364_11130.jpg|n02088238-basset
n02088364-beagle\n02088364_11136.jpg|n02085936-Maltese_dog
n02088364-beagle\n02088364_11147.jpg|n02107312-miniature_pinscher
n02088364-beagle\n02088364_11231.jpg|n02102177-Welsh_springer_spaniel
n02088364-beagle\n02088364_1128.jpg|n02101388-Brittany_spaniel
n02088364-beagle\n02088364_11391.jpg|n02086646-Blenheim_spaniel
n02088364-beagle\n02088364_11458.jpg|n02090379-redbone
n02088364-beagle\n02088364_11509.jpg|n02092339-Weimaraner
n02088364-beagle\n02088364_11698.jpg|n02089973-English_foxhound
n02088364-beagle\n02088364_11711.jpg|n02100583-vizsla
n02088364-beagle\n02088364_11828.jpg|n02102480-Sussex_spaniel
n02088364-beagle\n02088364_11836.jpg|n02088238-basset
n02088364-beagle\n02088364_11930.jpg|n02087046-toy_terrier
n02088364-beagle\n02088364_12102.jpg|n02110806-basenji
n02088364-beagle\n02088364_12124.jpg|n02086646-Blenheim_spaniel
n02088364-beagle\n02088364_12131.jpg|n02086646-Blenheim_spaniel
n02088364-beagle\n02088364_12154.jpg|n02109525-Saint_Bernard
n02088364-beagle\n02088364_12178.jpg|n02094258-Norwich_terrier
n02088364-beagle\n02088364_12213.jpg|n02089867-Walker_hound
n02088466-bloodhound\n02088466_10083.jpg|n02096051-Airedale
n02088466-bloodhound\n02088466_1015.jpg|n02096051-Airedale
n02088466-bloodhound\n02088466_10309.jpg|n02088466-bloodhound
n02088466-bloodhound\n02088466_10331.jpg|n02100877-Irish_setter
n02088466-bloodhound\n02088466_10335.jpg|n02088466-bloodhound
n02088466-bloodhound\n02088466_10408.jpg|n02106662-German_shepherd
n02088466-bloodhound\n02088466_10506.jpg|n02096294-Australian_terrier
n02088466-bloodhound\n02088466_10545.jpg|n02102480-Sussex_spaniel
n02088466-bloodhound\n02088466_10724.jpg|n02088466-bloodhound
n02088466-bloodhound\n02088466_10773.jpg|n02088466-bloodhound
n02088466-bloodhound\n02088466_10831.jpg|n02088466-bloodhound
n02088466-bloodhound\n02088466_10904.jpg|n02111129-Leonberg
n02088466-bloodhound\n02088466_11398.jpg|n02100877-Irish_setter
n02088466-bloodhound\n02088466_11623.jpg|n02088466-bloodhound
n02088466-bloodhound\n02088466_11827.jpg|n02089078-black-and-tan_coonhound
n02088466-bloodhound\n02088466_11903.jpg|n02098105-soft-coated_wheaten_terrier
n02088466-bloodhound\n02088466_11936.jpg|n02090379-redbone
n02088466-bloodhound\n02088466_12003.jpg|n02094258-Norwich_terrier
n02088466-bloodhound\n02088466_12353.jpg|n02102177-Welsh_springer_spaniel
n02088466-bloodhound\n02088466_12388.jpg|n02093991-Irish_terrier
n02088466-bloodhound\n02088466_1262.jpg|n02088466-bloodhound
n02088466-bloodhound\n02088466_1473.jpg|n02088466-bloodhound
n02088466-bloodhound\n02088466_1503.jpg|n02088466-bloodhound
n02088466-bloodhound\n02088466_1555.jpg|n02102480-Sussex_spaniel
n02088466-bloodhound\n02088466_1563.jpg|n02100583-vizsla
n02088466-bloodhound\n02088466_1671.jpg|n02096051-Airedale
n02088466-bloodhound\n02088466_1983.jpg|n02105162-malinois
n02088466-bloodhound\n02088466_2030.jpg|n02106550-Rottweiler
n02088632-bluetick\n02088632_101.jpg|n02094433-Yorkshire_terrier
n02088632-bluetick\n02088632_1047.jpg|n02107574-Greater_Swiss_Mountain_dog
n02088632-bluetick\n02088632_1073.jpg|n02085620-Chihuahua
n02088632-bluetick\n02088632_1077.jpg|n02108551-Tibetan_mastiff
n02088632-bluetick\n02088632_108.jpg|n02088632-bluetick
n02088632-bluetick\n02088632_109.jpg|n02116738-African_hunting_dog
n02088632-bluetick\n02088632_1108.jpg|n02088632-bluetick
n02088632-bluetick\n02088632_1118.jpg|n02111500-Great_Pyrenees
n02088632-bluetick\n02088632_1126.jpg|n02116738-African_hunting_dog
n02088632-bluetick\n02088632_1145.jpg|n02105855-Shetland_sheepdog
